127.0.0.1 - - [09/May/2019:23:11:08 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:21 +0800] "GET /used_car_sys/web_user/index.html HTTP/1.1" 200 8586
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:21 +0800] "GET /used_car_sys/web_user/css/style.css HTTP/1.1" 200 24987
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:21 +0800] "GET /used_car_sys/web_user/js/superfish.js HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:21 +0800] "GET /used_car_sys/web_user/js/jquery.min.js HTTP/1.1" 200 72173
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:21 +0800] "GET /used_car_sys/web_user/images/logo1.png HTTP/1.1" 200 6614
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:21 +0800] "GET /used_car_sys/web_user/js/script.js HTTP/1.1" 200 3775
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:21 +0800] "GET /used_car_sys/web_user/images/banner4.jpg HTTP/1.1" 200 66764
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:21 +0800] "GET /used_car_sys/web_user/images/banner2.jpg HTTP/1.1" 200 47836
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:21 +0800] "GET /used_car_sys/web_user/images/banner3.jpg HTTP/1.1" 200 59349
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:21 +0800] "GET /used_car_sys/web_user/images/pic5.jpg HTTP/1.1" 200 9508
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:21 +0800] "GET /used_car_sys/web_user/images/banner1.jpg HTTP/1.1" 200 68070
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:22 +0800] "GET /used_car_sys/web_user/images/cart.png HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:22 +0800] "GET /used_car_sys/web_user/images/pic6.jpg HTTP/1.1" 200 13702
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:22 +0800] "GET /used_car_sys/web_user/images/car1.jpg HTTP/1.1" 200 1520
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:22 +0800] "GET /used_car_sys/web_user/images/pic4.jpg HTTP/1.1" 200 8603
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:22 +0800] "GET /used_car_sys/web_user/images/car3.jpg HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:22 +0800] "GET /used_car_sys/web_user/images/car2.jpg HTTP/1.1" 200 1373
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:22 +0800] "GET /used_car_sys/web_user/images/pic21.jpg HTTP/1.1" 200 3694
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:22 +0800] "GET /used_car_sys/web_user/images/car4.jpg HTTP/1.1" 200 1091
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:22 +0800] "GET /used_car_sys/web_user/images/pic25.jpg HTTP/1.1" 200 3813
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:22 +0800] "GET /used_car_sys/web_user/images/pic24.jpg HTTP/1.1" 200 4969
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:22 +0800] "GET /used_car_sys/web_user/images/pic27.jpg HTTP/1.1" 200 3675
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:22 +0800] "GET /used_car_sys/web_user/images/pic22.jpg HTTP/1.1" 200 3657
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:22 +0800] "GET /used_car_sys/web_user/images/pic26.jpg HTTP/1.1" 200 4272
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:22 +0800] "GET /used_car_sys/web_user/images/pic23.jpg HTTP/1.1" 200 4402
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:22 +0800] "GET /used_car_sys/web_user/images/pic28.jpg HTTP/1.1" 200 5110
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:23 +0800] "GET /used_car_sys/web_user/images/menu_line.gif HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:23 +0800] "GET /used_car_sys/web_user/images/tail.gif HTTP/1.1" 200 1410
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:23 +0800] "GET /used_car_sys/web_user/images/bg-body.jpg HTTP/1.1" 200 3484
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:23 +0800] "GET /used_car_sys/web_user/images/header-bottom-bg.png HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:23 +0800] "GET /used_car_sys/web_user/images/tail_footer.gif HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:23 +0800] "GET /used_car_sys/web_user/images/arrows.png HTTP/1.1" 200 8425
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:23 +0800] "GET /used_car_sys/web_user/fonts/Amble-Light-webfont.ttf HTTP/1.1" 200 29344
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:23 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:24 +0800] "GET /used_car_sys/web_user/buycar.html HTTP/1.1" 200 6514
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:24 +0800] "GET /used_car_sys/web_user/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:24 +0800] "GET /used_car_sys/web_user/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:24 +0800] "GET /used_car_sys/web_user/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:24 +0800] "GET /used_car_sys/web_user/js/superfish.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:24 +0800] "GET /used_car_sys/web_user/images/pic5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:24 +0800] "GET /used_car_sys/web_user/images/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2019:23:11:24 +0800] "GET /used_car_sys/web_user/images/cart.png HTTP/1.1" 304 -
